 drug_name,age_group,warning,severity,alternative,note
Hydroxyzine Variant58,Adult,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Codeine Variant59,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Promethazine Variant60,All,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant61,Neonates,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant62,<2 years,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant63,Adult,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Ciprofloxacin Variant64,<2 years,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant65,Pediatric,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant66,Adult,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant67,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Metoclopramide Variant68,Neonates,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Hydroxyzine Variant69,Adult,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Codeine Variant70,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Lorazepam Variant71,All,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant72,All,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant73,All,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant74,Neonates,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant75,Neonates,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Prednisone Variant76,Adult,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant77,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant78,<2 years,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant79,Neonates,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant80,Pediatric,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant81,All,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant82,Adult,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant83,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Dexamethasone Variant84,Elderly,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant85,Adult,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant86,Neonates,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant87,Elderly,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant88,<2 years,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant89,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Metoclopramide Variant90,All,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Metoclopramide Variant91,Adult,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Ciprofloxacin Variant92,<2 years,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant93,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant94,All,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant95,<2 years,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant96,All,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Lorazepam Variant97,Pediatric,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant98,<2 years,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant99,All,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant0,All,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant1,All,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant2,Pediatric,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant3,Neonates,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant4,Adult,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant5,Pediatric,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant6,Adult,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Codeine Variant7,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant8,<18,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant9,<18,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant10,Elderly,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant11,<18,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant12,Neonates,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant13,Elderly,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant14,All,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant15,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant16,Neonates,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Promethazine Variant17,<18,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant18,Adult,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant19,Pediatric,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant20,All,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant21,<2 years,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant22,Adult,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant23,Neonates,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant24,Neonates,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant25,Neonates,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant26,Adult,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant27,<2 years,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant28,Pediatric,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant29,Neonates,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant30,<2 years,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant31,Pediatric,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant32,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Hydroxyzine Variant33,<18,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant34,Pediatric,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant35,Pediatric,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant36,<18,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant37,<2 years,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant38,Pediatric,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant39,Pediatric,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant40,Neonates,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant41,Adult,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Chloramphenicol Variant42,<2 years,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Metoclopramide Variant43,Elderly,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Hydroxyzine Variant44,Adult,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant45,All,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant46,Elderly,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant47,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Promethazine Variant48,Elderly,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Metoclopramide Variant49,Pediatric,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Lorazepam Variant50,All,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant51,<18,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant52,<2 years,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant53,Elderly,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant54,All,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant55,Neonates,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Hydroxyzine Variant56,Adult,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant57,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant58,<2 years,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant59,<18,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant60,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Lorazepam Variant61,Elderly,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant62,All,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant63,<18,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant64,Neonates,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant65,Elderly,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant66,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant67,All,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant68,<18,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant69,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant70,Adult,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant71,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant72,Elderly,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant73,<18,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant74,All,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant75,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Codeine Variant76,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Aspirin Variant77,Neonates,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant78,Adult,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Ciprofloxacin Variant79,Adult,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant80,Neonates,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant81,Pediatric,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Chloramphenicol Variant82,Pediatric,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Prednisone Variant83,All,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant84,Neonates,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Ciprofloxacin Variant85,Pediatric,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant86,<2 years,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant87,Elderly,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant88,Adult,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant89,<18,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant90,All,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant91,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant92,<18,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Lorazepam Variant93,Pediatric,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant94,Neonates,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant95,All,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Codeine Variant96,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Codeine Variant97,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Dexamethasone Variant98,<2 years,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant99,<18,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant0,Neonates,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant1,Adult,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant2,Pediatric,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant3,Elderly,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant4,Pediatric,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Aspirin Variant5,<18,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant6,<2 years,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Metoclopramide Variant7,Elderly,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Hydroxyzine Variant8,<18,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant9,All,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant10,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Hydroxyzine Variant11,<18,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant12,<18,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant13,Neonates,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant14,Pediatric,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Prednisone Variant15,<18,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant16,Elderly,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant17,Elderly,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant18,Neonates,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant19,Adult,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant20,<18,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant21,<2 years,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Codeine Variant22,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Lorazepam Variant23,Neonates,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant24,<2 years,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant25,<18,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant26,<18,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant27,Adult,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Aspirin Variant28,Elderly,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant29,<18,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Promethazine Variant30,All,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Prednisone Variant31,Neonates,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant32,Neonates,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant33,Pediatric,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Codeine Variant34,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant35,<2 years,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant36,Adult,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Promethazine Variant37,Neonates,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant38,<18,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Chloramphenicol Variant39,All,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Codeine Variant40,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Codeine Variant41,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Aspirin Variant42,Neonates,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant43,Adult,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant44,Neonates,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant45,<18,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant46,All,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant47,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Dexamethasone Variant48,Elderly,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant49,Neonates,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Dexamethasone Variant50,All,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant51,<2 years,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant52,All,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Codeine Variant53,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant54,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant55,All,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant56,Pediatric,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant57,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Aspirin Variant58,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant59,Neonates,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant60,Elderly,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Codeine Variant61,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Promethazine Variant62,Neonates,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant63,Adult,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Chloramphenicol Variant64,Adult,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Prednisone Variant65,Adult,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant66,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant67,Pediatric,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant68,<18,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant69,Pediatric,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant70,<18,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Prednisone Variant71,All,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant72,Adult,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Metoclopramide Variant73,Adult,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Promethazine Variant74,Elderly,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant75,Neonates,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant76,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant77,Elderly,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant78,Elderly,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant79,All,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant80,<2 years,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant81,Elderly,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant82,Adult,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant83,All,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Codeine Variant84,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Prednisone Variant85,Pediatric,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant86,<18,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Promethazine Variant87,Neonates,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Codeine Variant88,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Codeine Variant89,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant90,Pediatric,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant91,<18,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant92,Neonates,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant93,<18,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Dexamethasone Variant94,<2 years,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant95,<18,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Codeine Variant96,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant97,All,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant98,<2 years,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
